name;@lat;@lon
Avenida Alcalde Alfonso Molina;43.3355056;-8.4035231
Rúa Francisco Pérez Carballo;43.3375145;-8.4075902
Avenida García Sabell;43.3370164;-8.4073838
Campus de Elviña;43.3328622;-8.4124380
Campus de Elviña;43.3315719;-8.4122468
Campus de Elviña;43.3336257;-8.4086785
Rúa José María Luengo Martínez;43.3346418;-8.4069916
Campus de Elviña;43.3346223;-8.4070788
Rúa Lamelas;43.3351739;-8.4058978
Rúa dos Irmandiños;43.4822466;-8.2336962
Rúa do Espírito Santo;43.4780488;-8.2426433
Rúa Concepción Arenal;43.4852399;-8.2350719
Rúa Vila Soledad;43.4886524;-8.2194686
Rúa Aviador Piñeiro;43.4909289;-8.2184883
Estrada Baixa do Porto;43.4827564;-8.2483225
Avenida do Doutor Fleming;43.4869339;-8.2336371
Rotonda do Poeta Uxío Novoneyra;43.4859149;-8.2182694
Rúa Pérez Lugín;43.4906927;-8.2014966
Rúa Perbes;43.4922998;-8.2167303
Avenida do Areal;43.4131786;-8.1681899
Avenida do Areal;43.4131483;-8.1680367
Rúa Río Castro;43.4933368;-8.2166322
Rúa Río Mandeo;43.4927790;-8.2148712
Rúa Cadaval;43.4931654;-8.2136081
Rúa Poeta Curros Enríquez;43.4932460;-8.2124450
Rúa Cabo Prior;43.4932156;-8.2183036
Rúa Río Xubia;43.4934940;-8.2181608
Rúa Illa Herbosa;43.4932318;-8.2171438
Rúa Fontemoura;43.4935949;-8.2171121
Rúa Fontemoura;43.4917468;-8.2194858
Avenida de Esteiro;43.4849652;-8.2211016
Rúa Nova de Caranza;43.4862855;-8.2184799
Estrada de Mesoiro;43.3286617;-8.4274961
Travesía de Uxes;43.3021426;-8.4480487
Rúa Emilio Romay;43.2786003;-8.2102251
Avenida de Castela;43.2790911;-8.2096209
Rúa da Ribeira;43.2827182;-8.2115947
A Ponte Vella;43.2813982;-8.2089749
Avenida de Saavedra Meneses;43.2822670;-8.2080304
Rúa dos Caneiros;43.2785933;-8.2095049
Estrada da Praia;43.3475112;-8.2066900
Rúa da Praia;43.3551004;-8.2140711
Rúa do Covo;43.3498213;-8.2084165
Rúa do Covo;43.3507819;-8.2101610
Avenida de Santa Mariña;43.4965785;-8.2152841
Campus de Elviña;43.3330040;-8.4126544
Campus de Elviña;43.3350883;-8.4162647
Campus de Elviña;43.3322912;-8.4126352
Rúa Concepción Arenal;43.4904274;-8.2069100
Avenida Nicasio Pérez;43.4928426;-8.2114617
Estrada de Castela;43.4932855;-8.2109844
Rúa Riomao;42.2260533;-8.6582458
Autoestrada do Val Miñor;42.1002062;-8.8233113
Autoestrada do Val Miñor;42.1000711;-8.8245531
Glorieta do Ramal;42.1143363;-8.8696945
Avenida de Xoselín;42.1146337;-8.8684510
Autoestrada do Val Miñor;42.1227258;-8.7770470
Avenida de Xoselín;42.1144321;-8.8691990
Rúa da Becerreira;42.2186466;-8.6594922
Rúa Torreón;42.2243045;-8.6575421
Baixada á Igrexa;42.2233663;-8.6562788
Avenida Nicasio Pérez;43.4908900;-8.2090618
Avenida Nicasio Pérez;43.4924398;-8.2107331
Avenida de Peinador;42.2085468;-8.6558407
Estrada da Vía;42.2119879;-8.6414563
Estrada da Vía;42.2015387;-8.6481012
Rúa da Rans;42.1947705;-8.6461494
Rúa da Rans;42.1940903;-8.6507642
Rúa do Caeiro;42.2312475;-8.6551277
Rúa de Muros;42.8737837;-8.5997762
Rúa de Muros;42.8737183;-8.5989899
Rúa de Muros;42.8767461;-8.6076402
Rúa de Muros;42.8748072;-8.6198487
Rúa de Muros;42.8736615;-8.5991422
Rúa de Muros;42.8746421;-8.6201016
Avenida de Xosé Filgueira Valverde;42.8687725;-8.5752710
Rúa de Muros;42.8767818;-8.6086213
Rúa de Muros;42.8765724;-8.6070856
O Cruce da Gándara;42.8536791;-8.6778001
Avenida de Noia;42.8538813;-8.6756312
Avenida de Noia;42.8536912;-8.6791241
Avenida da Maía;42.8602712;-8.6499808
Avenida de Noia;42.8536883;-8.6781715
Avenida de Noia;42.8538130;-8.6756149
Rúa de Muros;42.8749449;-8.6196162
Avenida de Noia;42.8536230;-8.6791053
Avenida de Xosé Filgueira Valverde;42.8685976;-8.5746619
Rúa de Muros;42.8736143;-8.5980989
Avenida da Maía;42.8599897;-8.6507721
Avenida da Maía;42.8603218;-8.6500075
Rúa de Muros;42.8748876;-8.6194894
Rúa de Muros;42.8737201;-8.5997732
Rúa de Muros;42.8742253;-8.6016553
Rúa de Muros;42.8765027;-8.6071524
Rúa de Muros;42.8765493;-8.6095358
Avenida de Xosé Filgueira Valverde;42.8689407;-8.5751316
Avenida de Xosé Filgueira Valverde;42.8641293;-8.5679147
Rúa de Muros;42.8761944;-8.6110733
Rúa de Muros;42.8745829;-8.6200201
Rúa de Muros;42.8727074;-8.6224052
Avenida da Maía;42.8605527;-8.6494205
Avenida da Maía;42.8599607;-8.6507477
Avenida de Noia;42.8537432;-8.6781625
Avenida de Noia;42.8537166;-8.6785634
Avenida da Mestra Victoria Míguez;42.8692597;-8.5757818
